rule_id,table,rule_type,passed,severity,actual_value,threshold,message,checked_at,status,run_id
product_row_count_min,product,ROW_COUNT_MIN,True,ERROR,503.0,100.0,Row count 503 >= 100 — OK,2026-08-13T03:35:52+00:00,PASS,C0F9B9D4
product_row_count_max,product,ROW_COUNT_MAX,True,WARNING,503.0,10000.0,"Row count 503 <= 10,000 — OK",2026-08-13T03:35:52+00:00,PASS,C0F9B9D4
product_null_ratio,product,NULL_RATIO_MAX,True,ERROR,0.0,0.01,Null ratio for 'ProductID': 0.000% (threshold 1.00%) — OK,2026-08-13T03:35:52+00:00,PASS,C0F9B9D4
product_dupe_ratio,product,DUPE_RATIO_MAX,True,WARNING,0.0,0.005,Duplicate ratio for 'ProductID': 0.0000% (threshold 0.500%) — OK,2026-08-13T03:35:52+00:00,PASS,C0F9B9D4
product_outlier_ratio,product,OUTLIER_RATIO_MAX,True,WARNING,0.166998,0.25,Outlier ratio: 16.70% (84 records) — threshold 25.0% — OK,2026-08-13T03:35:52+00:00,PASS,C0F9B9D4
product_name_exists,product,COLUMN_EXISTS,True,ERROR,1.0,1.0,Column 'Name' found in table,2026-08-13T03:35:52+00:00,PASS,C0F9B9D4
customer_row_count_min,customer,ROW_COUNT_MIN,True,ERROR,19821.0,1000.0,"Row count 19,821 >= 1,000 — OK",2026-08-13T03:35:52+00:00,PASS,C0F9B9D4
customer_null_ratio,customer,NULL_RATIO_MAX,True,ERROR,0.0,0.001,Null ratio for 'CustomerID': 0.000% (threshold 0.10%) — OK,2026-08-13T03:35:52+00:00,PASS,C0F9B9D4
customer_dupe_ratio,customer,DUPE_RATIO_MAX,True,ERROR,0.0,0.001,Duplicate ratio for 'CustomerID': 0.0000% (threshold 0.100%) — OK,2026-08-13T03:35:52+00:00,PASS,C0F9B9D4
header_row_count_min,salesorderheader,ROW_COUNT_MIN,True,ERROR,31465.0,1000.0,"Row count 31,465 >= 1,000 — OK",2026-08-13T03:35:52+00:00,PASS,C0F9B9D4
header_null_ratio,salesorderheader,NULL_RATIO_MAX,True,ERROR,0.0,0.001,Null ratio for 'SalesOrderID': 0.000% (threshold 0.10%) — OK,2026-08-13T03:35:52+00:00,PASS,C0F9B9D4
header_dupe_ratio,salesorderheader,DUPE_RATIO_MAX,True,ERROR,0.0,0.001,Duplicate ratio for 'SalesOrderID': 0.0000% (threshold 0.100%) — OK,2026-08-13T03:35:52+00:00,PASS,C0F9B9D4
detail_row_count_min,salesorderdetail,ROW_COUNT_MIN,True,ERROR,121317.0,10000.0,"Row count 121,317 >= 10,000 — OK",2026-08-13T03:35:52+00:00,PASS,C0F9B9D4
detail_null_ratio,salesorderdetail,NULL_RATIO_MAX,True,ERROR,0.0,0.001,Null ratio for 'SalesOrderDetailID': 0.000% (threshold 0.10%) — OK,2026-08-13T03:35:52+00:00,PASS,C0F9B9D4
detail_outlier_ratio,salesorderdetail,OUTLIER_RATIO_MAX,True,WARNING,0.155395,0.2,"Outlier ratio: 15.54% (18,852 records) — threshold 20.0% — OK",2026-08-13T03:35:52+00:00,PASS,C0F9B9D4
total_sales_min,salesorderdetail,TOTAL_SALES_MIN,True,ERROR,109846381.4,1000000.0,"Total LineTotal: $109,846,381.40 (threshold $1,000,000.00) — OK",2026-08-13T03:35:52+00:00,PASS,C0F9B9D4
