ProductID,Name,ListPrice,Color
1,Adjustable Race,5000.06,Silver
514,LL Mountain Seat Assembly,133.34,N/A
515,ML Mountain Seat Assembly,147.14,N/A
516,HL Mountain Seat Assembly,196.92,N/A
517,LL Road Seat Assembly,133.34,N/A
518,ML Road Seat Assembly,147.14,N/A
519,HL Road Seat Assembly,196.92,N/A
520,LL Touring Seat Assembly,133.34,N/A
521,ML Touring Seat Assembly,147.14,N/A
522,HL Touring Seat Assembly,196.92,N/A
680,"HL Road Frame - Black, 58",1431.5,Black
706,"HL Road Frame - Red, 58",1431.5,Red
707,"Sport-100 Helmet, Red",34.99,Red
708,"Sport-100 Helmet, Black",34.99,Black
709,"Mountain Bike Socks, M",9.5,White
710,"Mountain Bike Socks, L",9.5,White
711,"Sport-100 Helmet, Blue",34.99,Blue
712,AWC Logo Cap,8.99,Multi
713,"Long-Sleeve Logo Jersey, S",49.99,Multi
714,"Long-Sleeve Logo Jersey, M",49.99,Multi
715,"Long-Sleeve Logo Jersey, L",49.99,Multi
716,"Long-Sleeve Logo Jersey, XL",49.99,Multi
717,"HL Road Frame - Red, 62",1431.5,Red
718,"HL Road Frame - Red, 44",1431.5,Red
719,"HL Road Frame - Red, 48",1431.5,Red
720,"HL Road Frame - Red, 52",1431.5,Red
721,"HL Road Frame - Red, 56",1431.5,Red
722,"LL Road Frame - Black, 58",337.22,Black
723,"LL Road Frame - Black, 60",337.22,Black
724,"LL Road Frame - Black, 62",337.22,Black
725,"LL Road Frame - Red, 44",337.22,Red
726,"LL Road Frame - Red, 48",337.22,Red
727,"LL Road Frame - Red, 52",337.22,Red
728,"LL Road Frame - Red, 58",337.22,Red
729,"LL Road Frame - Red, 60",337.22,Red
730,"LL Road Frame - Red, 62",337.22,Red
731,"ML Road Frame - Red, 44",594.83,Red
732,"ML Road Frame - Red, 48",594.83,Red
733,"ML Road Frame - Red, 52",594.83,Red
734,"ML Road Frame - Red, 58",594.83,Red
735,"ML Road Frame - Red, 60",594.83,Red
736,"LL Road Frame - Black, 44",337.22,Black
737,"LL Road Frame - Black, 48",337.22,Black
738,"LL Road Frame - Black, 52",337.22,Black
739,"HL Mountain Frame - Silver, 42",1364.5,Silver
740,"HL Mountain Frame - Silver, 44",1364.5,Silver
741,"HL Mountain Frame - Silver, 48",1364.5,Silver
742,"HL Mountain Frame - Silver, 46",1364.5,Silver
743,"HL Mountain Frame - Black, 42",1349.6,Black
744,"HL Mountain Frame - Black, 44",1349.6,Black
745,"HL Mountain Frame - Black, 48",1349.6,Black
746,"HL Mountain Frame - Black, 46",1349.6,Black
747,"HL Mountain Frame - Black, 38",1349.6,Black
748,"HL Mountain Frame - Silver, 38",1364.5,Silver
749,"Road-150 Red, 62",3578.27,Red
750,"Road-150 Red, 44",3578.27,Red
751,"Road-150 Red, 48",3578.27,Red
752,"Road-150 Red, 52",3578.27,Red
753,"Road-150 Red, 56",3578.27,Red
754,"Road-450 Red, 58",1457.99,Red
755,"Road-450 Red, 60",1457.99,Red
756,"Road-450 Red, 44",1457.99,Red
757,"Road-450 Red, 48",1457.99,Red
758,"Road-450 Red, 52",1457.99,Red
759,"Road-650 Red, 58",782.99,Red
760,"Road-650 Red, 60",782.99,Red
761,"Road-650 Red, 62",782.99,Red
762,"Road-650 Red, 44",782.99,Red
763,"Road-650 Red, 48",782.99,Red
764,"Road-650 Red, 52",782.99,Red
765,"Road-650 Black, 58",782.99,Black
766,"Road-650 Black, 60",782.99,Black
767,"Road-650 Black, 62",782.99,Black
768,"Road-650 Black, 44",782.99,Black
769,"Road-650 Black, 48",782.99,Black
770,"Road-650 Black, 52",782.99,Black
771,"Mountain-100 Silver, 38",3399.99,Silver
772,"Mountain-100 Silver, 42",3399.99,Silver
773,"Mountain-100 Silver, 44",3399.99,Silver
774,"Mountain-100 Silver, 48",3399.99,Silver
775,"Mountain-100 Black, 38",3374.99,Black
776,"Mountain-100 Black, 42",3374.99,Black
777,"Mountain-100 Black, 44",3374.99,Black
778,"Mountain-100 Black, 48",3374.99,Black
779,"Mountain-200 Silver, 38",2319.99,Silver
780,"Mountain-200 Silver, 42",2319.99,Silver
781,"Mountain-200 Silver, 46",2319.99,Silver
782,"Mountain-200 Black, 38",2294.99,Black
783,"Mountain-200 Black, 42",2294.99,Black
784,"Mountain-200 Black, 46",2294.99,Black
785,"Mountain-300 Black, 38",1079.99,Black
786,"Mountain-300 Black, 40",1079.99,Black
787,"Mountain-300 Black, 44",1079.99,Black
788,"Mountain-300 Black, 48",1079.99,Black
789,"Road-250 Red, 44",2443.35,Red
790,"Road-250 Red, 48",2443.35,Red
791,"Road-250 Red, 52",2443.35,Red
792,"Road-250 Red, 58",2443.35,Red
793,"Road-250 Black, 44",2443.35,Black
794,"Road-250 Black, 48",2443.35,Black
795,"Road-250 Black, 52",2443.35,Black
796,"Road-250 Black, 58",2443.35,Black
797,"Road-550-W Yellow, 38",1120.49,Yellow
798,"Road-550-W Yellow, 40",1120.49,Yellow
799,"Road-550-W Yellow, 42",1120.49,Yellow
800,"Road-550-W Yellow, 44",1120.49,Yellow
801,"Road-550-W Yellow, 48",1120.49,Yellow
802,LL Fork,148.22,N/A
803,ML Fork,175.49,N/A
804,HL Fork,229.49,N/A
805,LL Headset,34.2,N/A
806,ML Headset,102.29,N/A
807,HL Headset,124.73,N/A
808,LL Mountain Handlebars,44.54,N/A
809,ML Mountain Handlebars,61.92,N/A
810,HL Mountain Handlebars,120.27,N/A
811,LL Road Handlebars,44.54,N/A
812,ML Road Handlebars,61.92,N/A
813,HL Road Handlebars,120.27,N/A
814,"ML Mountain Frame - Black, 38",348.76,Black
815,LL Mountain Front Wheel,60.745,Black
816,ML Mountain Front Wheel,209.025,Black
817,HL Mountain Front Wheel,300.215,Black
818,LL Road Front Wheel,85.565,Black
819,ML Road Front Wheel,248.385,Black
820,HL Road Front Wheel,330.06,Black
821,Touring Front Wheel,218.01,Black
822,"ML Road Frame-W - Yellow, 38",594.83,Yellow
823,LL Mountain Rear Wheel,87.745,Black
824,ML Mountain Rear Wheel,236.025,Black
825,HL Mountain Rear Wheel,327.215,Black
826,LL Road Rear Wheel,112.565,Black
827,ML Road Rear Wheel,275.385,Black
828,HL Road Rear Wheel,357.06,Black
829,Touring Rear Wheel,245.01,Black
830,"ML Mountain Frame - Black, 40",348.76,Black
831,"ML Mountain Frame - Black, 44",348.76,Black
832,"ML Mountain Frame - Black, 48",348.76,Black
833,"ML Road Frame-W - Yellow, 40",594.83,Yellow
834,"ML Road Frame-W - Yellow, 42",594.83,Yellow
835,"ML Road Frame-W - Yellow, 44",594.83,Yellow
836,"ML Road Frame-W - Yellow, 48",594.83,Yellow
837,"HL Road Frame - Black, 62",1431.5,Black
838,"HL Road Frame - Black, 44",1431.5,Black
839,"HL Road Frame - Black, 48",1431.5,Black
840,"HL Road Frame - Black, 52",1431.5,Black
841,"Men's Sports Shorts, S",59.99,Black
842,"Touring-Panniers, Large",125.0,Grey
843,Cable Lock,25.0,N/A
844,Minipump,19.99,N/A
845,Mountain Pump,24.99,N/A
846,Taillights - Battery-Powered,13.99,N/A
847,Headlights - Dual-Beam,34.99,N/A
848,Headlights - Weatherproof,44.99,N/A
849,"Men's Sports Shorts, M",59.99,Black
850,"Men's Sports Shorts, L",59.99,Black
851,"Men's Sports Shorts, XL",59.99,Black
852,"Women's Tights, S",74.99,Black
853,"Women's Tights, M",74.99,Black
854,"Women's Tights, L",74.99,Black
855,"Men's Bib-Shorts, S",89.99,Multi
856,"Men's Bib-Shorts, M",89.99,Multi
857,"Men's Bib-Shorts, L",89.99,Multi
858,"Half-Finger Gloves, S",24.49,Black
859,"Half-Finger Gloves, M",24.49,Black
860,"Half-Finger Gloves, L",24.49,Black
861,"Full-Finger Gloves, S",37.99,Black
862,"Full-Finger Gloves, M",37.99,Black
863,"Full-Finger Gloves, L",37.99,Black
864,"Classic Vest, S",63.5,Blue
865,"Classic Vest, M",63.5,Blue
866,"Classic Vest, L",63.5,Blue
867,"Women's Mountain Shorts, S",69.99,Black
868,"Women's Mountain Shorts, M",69.99,Black
869,"Women's Mountain Shorts, L",69.99,Black
870,Water Bottle - 30 oz.,4.99,N/A
871,Mountain Bottle Cage,9.99,N/A
872,Road Bottle Cage,8.99,N/A
873,Patch Kit/8 Patches,2.29,N/A
874,"Racing Socks, M",8.99,White
875,"Racing Socks, L",8.99,White
876,Hitch Rack - 4-Bike,120.0,N/A
877,Bike Wash - Dissolver,7.95,N/A
878,Fender Set - Mountain,21.98,N/A
879,All-Purpose Bike Stand,159.0,N/A
880,Hydration Pack - 70 oz.,54.99,Silver
881,"Short-Sleeve Classic Jersey, S",53.99,Yellow
882,"Short-Sleeve Classic Jersey, M",53.99,Yellow
883,"Short-Sleeve Classic Jersey, L",53.99,Yellow
884,"Short-Sleeve Classic Jersey, XL",53.99,Yellow
885,"HL Touring Frame - Yellow, 60",1003.91,Yellow
886,"LL Touring Frame - Yellow, 62",333.42,Yellow
887,"HL Touring Frame - Yellow, 46",1003.91,Yellow
888,"HL Touring Frame - Yellow, 50",1003.91,Yellow
889,"HL Touring Frame - Yellow, 54",1003.91,Yellow
890,"HL Touring Frame - Blue, 46",1003.91,Blue
891,"HL Touring Frame - Blue, 50",1003.91,Blue
892,"HL Touring Frame - Blue, 54",1003.91,Blue
893,"HL Touring Frame - Blue, 60",1003.91,Blue
894,Rear Derailleur,121.46,Silver
895,"LL Touring Frame - Blue, 50",333.42,Blue
896,"LL Touring Frame - Blue, 54",333.42,Blue
897,"LL Touring Frame - Blue, 58",333.42,Blue
898,"LL Touring Frame - Blue, 62",333.42,Blue
899,"LL Touring Frame - Yellow, 44",333.42,Yellow
900,"LL Touring Frame - Yellow, 50",333.42,Yellow
901,"LL Touring Frame - Yellow, 54",333.42,Yellow
902,"LL Touring Frame - Yellow, 58",333.42,Yellow
903,"LL Touring Frame - Blue, 44",333.42,Blue
904,"ML Mountain Frame-W - Silver, 40",364.09,Silver
905,"ML Mountain Frame-W - Silver, 42",364.09,Silver
906,"ML Mountain Frame-W - Silver, 46",364.09,Silver
907,Rear Brakes,106.5,Silver
908,LL Mountain Seat/Saddle,27.12,N/A
909,ML Mountain Seat/Saddle,39.14,N/A
910,HL Mountain Seat/Saddle,52.64,N/A
911,LL Road Seat/Saddle,27.12,N/A
912,ML Road Seat/Saddle,39.14,N/A
913,HL Road Seat/Saddle,52.64,N/A
914,LL Touring Seat/Saddle,27.12,N/A
915,ML Touring Seat/Saddle,39.14,N/A
916,HL Touring Seat/Saddle,52.64,N/A
917,"LL Mountain Frame - Silver, 42",264.05,Silver
918,"LL Mountain Frame - Silver, 44",264.05,Silver
919,"LL Mountain Frame - Silver, 48",264.05,Silver
920,"LL Mountain Frame - Silver, 52",264.05,Silver
921,Mountain Tire Tube,4.99,N/A
922,Road Tire Tube,3.99,N/A
923,Touring Tire Tube,4.99,N/A
924,"LL Mountain Frame - Black, 42",249.79,Black
925,"LL Mountain Frame - Black, 44",249.79,Black
926,"LL Mountain Frame - Black, 48",249.79,Black
927,"LL Mountain Frame - Black, 52",249.79,Black
928,LL Mountain Tire,24.99,N/A
929,ML Mountain Tire,29.99,N/A
930,HL Mountain Tire,35.0,N/A
931,LL Road Tire,21.49,N/A
932,ML Road Tire,24.99,N/A
933,HL Road Tire,32.6,N/A
934,Touring Tire,28.99,N/A
935,LL Mountain Pedal,40.49,Silver/Black
936,ML Mountain Pedal,62.09,Silver/Black
937,HL Mountain Pedal,80.99,Silver/Black
938,LL Road Pedal,40.49,Silver/Black
939,ML Road Pedal,62.09,Silver/Black
940,HL Road Pedal,80.99,Silver/Black
941,Touring Pedal,80.99,Silver/Black
942,"ML Mountain Frame-W - Silver, 38",364.09,Silver
943,"LL Mountain Frame - Black, 40",249.79,Black
944,"LL Mountain Frame - Silver, 40",264.05,Silver
945,Front Derailleur,91.49,Silver
946,LL Touring Handlebars,46.09,N/A
947,HL Touring Handlebars,91.57,N/A
948,Front Brakes,106.5,Silver
949,LL Crankset,175.49,Black
950,ML Crankset,256.49,Black
951,HL Crankset,404.99,Black
952,Chain,20.24,Silver
953,"Touring-2000 Blue, 60",1214.85,Blue
954,"Touring-1000 Yellow, 46",2384.07,Yellow
955,"Touring-1000 Yellow, 50",2384.07,Yellow
956,"Touring-1000 Yellow, 54",2384.07,Yellow
957,"Touring-1000 Yellow, 60",2384.07,Yellow
958,"Touring-3000 Blue, 54",742.35,Blue
959,"Touring-3000 Blue, 58",742.35,Blue
960,"Touring-3000 Blue, 62",742.35,Blue
961,"Touring-3000 Yellow, 44",742.35,Yellow
962,"Touring-3000 Yellow, 50",742.35,Yellow
963,"Touring-3000 Yellow, 54",742.35,Yellow
964,"Touring-3000 Yellow, 58",742.35,Yellow
965,"Touring-3000 Yellow, 62",742.35,Yellow
966,"Touring-1000 Blue, 46",2384.07,Blue
967,"Touring-1000 Blue, 50",2384.07,Blue
968,"Touring-1000 Blue, 54",2384.07,Blue
969,"Touring-1000 Blue, 60",2384.07,Blue
970,"Touring-2000 Blue, 46",1214.85,Blue
971,"Touring-2000 Blue, 50",1214.85,Blue
972,"Touring-2000 Blue, 54",1214.85,Blue
973,"Road-350-W Yellow, 40",1700.99,Yellow
974,"Road-350-W Yellow, 42",1700.99,Yellow
975,"Road-350-W Yellow, 44",1700.99,Yellow
976,"Road-350-W Yellow, 48",1700.99,Yellow
977,"Road-750 Black, 58",539.99,Black
978,"Touring-3000 Blue, 44",742.35,Blue
979,"Touring-3000 Blue, 50",742.35,Blue
980,"Mountain-400-W Silver, 38",769.49,Silver
981,"Mountain-400-W Silver, 40",769.49,Silver
982,"Mountain-400-W Silver, 42",769.49,Silver
983,"Mountain-400-W Silver, 46",769.49,Silver
984,"Mountain-500 Silver, 40",564.99,Silver
985,"Mountain-500 Silver, 42",564.99,Silver
986,"Mountain-500 Silver, 44",564.99,Silver
987,"Mountain-500 Silver, 48",564.99,Silver
988,"Mountain-500 Silver, 52",564.99,Silver
989,"Mountain-500 Black, 40",539.99,Black
990,"Mountain-500 Black, 42",539.99,Black
991,"Mountain-500 Black, 44",539.99,Black
992,"Mountain-500 Black, 48",539.99,Black
993,"Mountain-500 Black, 52",539.99,Black
994,LL Bottom Bracket,53.99,N/A
995,ML Bottom Bracket,101.24,N/A
996,HL Bottom Bracket,121.49,N/A
997,"Road-750 Black, 44",539.99,Black
998,"Road-750 Black, 48",539.99,Black
999,"Road-750 Black, 52",539.99,Black
