ProductID,Name,StandardCost,ListPrice,Color,Margin
1,Adjustable Race,0.0,5000.06,Silver,5000.06
514,LL Mountain Seat Assembly,98.77,133.34,N/A,34.57000000000001
515,ML Mountain Seat Assembly,108.99,147.14,N/A,38.14999999999999
516,HL Mountain Seat Assembly,145.87,196.92,N/A,51.04999999999998
517,LL Road Seat Assembly,98.77,133.34,N/A,34.57000000000001
518,ML Road Seat Assembly,108.99,147.14,N/A,38.14999999999999
519,HL Road Seat Assembly,145.87,196.92,N/A,51.04999999999998
520,LL Touring Seat Assembly,98.77,133.34,N/A,34.57000000000001
521,ML Touring Seat Assembly,108.99,147.14,N/A,38.14999999999999
522,HL Touring Seat Assembly,145.87,196.92,N/A,51.04999999999998
680,"HL Road Frame - Black, 58",1059.31,1431.5,Black,372.19000000000005
706,"HL Road Frame - Red, 58",1059.31,1431.5,Red,372.19000000000005
707,"Sport-100 Helmet, Red",13.0863,34.99,Red,21.9037
708,"Sport-100 Helmet, Black",13.0863,34.99,Black,21.9037
709,"Mountain Bike Socks, M",3.3963,9.5,White,6.1037
710,"Mountain Bike Socks, L",3.3963,9.5,White,6.1037
711,"Sport-100 Helmet, Blue",13.0863,34.99,Blue,21.9037
712,AWC Logo Cap,6.9223,8.99,Multi,2.0677000000000003
713,"Long-Sleeve Logo Jersey, S",38.4923,49.99,Multi,11.497700000000002
714,"Long-Sleeve Logo Jersey, M",38.4923,49.99,Multi,11.497700000000002
715,"Long-Sleeve Logo Jersey, L",38.4923,49.99,Multi,11.497700000000002
716,"Long-Sleeve Logo Jersey, XL",38.4923,49.99,Multi,11.497700000000002
717,"HL Road Frame - Red, 62",868.6342,1431.5,Red,562.8658
718,"HL Road Frame - Red, 44",868.6342,1431.5,Red,562.8658
719,"HL Road Frame - Red, 48",868.6342,1431.5,Red,562.8658
720,"HL Road Frame - Red, 52",868.6342,1431.5,Red,562.8658
721,"HL Road Frame - Red, 56",868.6342,1431.5,Red,562.8658
722,"LL Road Frame - Black, 58",204.6251,337.22,Black,132.59490000000002
723,"LL Road Frame - Black, 60",204.6251,337.22,Black,132.59490000000002
724,"LL Road Frame - Black, 62",204.6251,337.22,Black,132.59490000000002
725,"LL Road Frame - Red, 44",187.1571,337.22,Red,150.0629
726,"LL Road Frame - Red, 48",187.1571,337.22,Red,150.0629
727,"LL Road Frame - Red, 52",187.1571,337.22,Red,150.0629
728,"LL Road Frame - Red, 58",187.1571,337.22,Red,150.0629
729,"LL Road Frame - Red, 60",187.1571,337.22,Red,150.0629
730,"LL Road Frame - Red, 62",187.1571,337.22,Red,150.0629
731,"ML Road Frame - Red, 44",352.1394,594.83,Red,242.69060000000002
732,"ML Road Frame - Red, 48",352.1394,594.83,Red,242.69060000000002
733,"ML Road Frame - Red, 52",352.1394,594.83,Red,242.69060000000002
734,"ML Road Frame - Red, 58",352.1394,594.83,Red,242.69060000000002
735,"ML Road Frame - Red, 60",352.1394,594.83,Red,242.69060000000002
736,"LL Road Frame - Black, 44",204.6251,337.22,Black,132.59490000000002
737,"LL Road Frame - Black, 48",204.6251,337.22,Black,132.59490000000002
738,"LL Road Frame - Black, 52",204.6251,337.22,Black,132.59490000000002
739,"HL Mountain Frame - Silver, 42",747.2002,1364.5,Silver,617.2998
740,"HL Mountain Frame - Silver, 44",706.811,1364.5,Silver,657.689
741,"HL Mountain Frame - Silver, 48",706.811,1364.5,Silver,657.689
742,"HL Mountain Frame - Silver, 46",747.2002,1364.5,Silver,617.2998
743,"HL Mountain Frame - Black, 42",739.041,1349.6,Black,610.5589999999999
744,"HL Mountain Frame - Black, 44",699.0928,1349.6,Black,650.5071999999999
745,"HL Mountain Frame - Black, 48",699.0928,1349.6,Black,650.5071999999999
746,"HL Mountain Frame - Black, 46",739.041,1349.6,Black,610.5589999999999
747,"HL Mountain Frame - Black, 38",739.041,1349.6,Black,610.5589999999999
748,"HL Mountain Frame - Silver, 38",747.2002,1364.5,Silver,617.2998
749,"Road-150 Red, 62",2171.2942,3578.27,Red,1406.9758000000002
750,"Road-150 Red, 44",2171.2942,3578.27,Red,1406.9758000000002
751,"Road-150 Red, 48",2171.2942,3578.27,Red,1406.9758000000002
752,"Road-150 Red, 52",2171.2942,3578.27,Red,1406.9758000000002
753,"Road-150 Red, 56",2171.2942,3578.27,Red,1406.9758000000002
754,"Road-450 Red, 58",884.7083,1457.99,Red,573.2817
755,"Road-450 Red, 60",884.7083,1457.99,Red,573.2817
756,"Road-450 Red, 44",884.7083,1457.99,Red,573.2817
757,"Road-450 Red, 48",884.7083,1457.99,Red,573.2817
758,"Road-450 Red, 52",884.7083,1457.99,Red,573.2817
759,"Road-650 Red, 58",486.7066,782.99,Red,296.28340000000003
760,"Road-650 Red, 60",486.7066,782.99,Red,296.28340000000003
761,"Road-650 Red, 62",486.7066,782.99,Red,296.28340000000003
762,"Road-650 Red, 44",486.7066,782.99,Red,296.28340000000003
