CustomerID,TotalSales,OrderCount
29818,877107.192221,12
29715,853849.179524,12
29722,841908.770707,12
30117,816755.576276,12
29614,799277.895062,12
29639,787773.043768,12
29701,746317.529257,8
29617,740985.833742,12
29994,730798.713914,12
29646,727272.649367,12
29580,724299.636471,12
29827,711864.762447,12
29497,700803.785335,12
29716,693502.4852240001,12
29913,671618.029459,8
30103,643745.895824,8
29957,636226.4699799999,8
29523,618616.128152,12
29616,617340.457924,8
30048,602559.892568,8
29772,586524.9473839999,8
29562,585516.432817,8
29712,580222.328277,8
30107,577089.572324,12
29924,572035.112102,8
30050,559620.946087,8
29966,537528.0958680001,12
29997,536546.119443,8
29641,534956.278603,4
29689,532224.757192,8
29486,519411.35632,12
29522,492362.76329,12
29705,482738.704942,12
30112,477957.2715,8
29546,474401.852776,8
30000,472819.053735,8
30074,458373.1887,8
29919,456739.474608,8
29507,446013.535012,8
29770,443861.82435,8
29559,443316.112616,8
29923,436921.654793,4
29624,431991.549968,4
29992,429050.872825,12
29901,427890.836774,12
29834,424512.694916,12
29825,422706.602251,12
30046,418436.529873,8
29707,416702.728915,8
29734,416653.482075,12
